x	y	Edep
-0.0139854	0.00152069	0.00528244
0.000172623	-0.0189176	0.00528244
-0.0078454	-0.000882113	0.00528244
-0.00817651	0.000969898	0.00528244
-0.00221968	0.013141	0.00528244
0.00944381	0.0134597	0.00528244
0.00530173	-0.01346	0.00528244
0.0220768	0.00683005	0.00528204
-0.00615705	0.0110859	0.00528204
-0.000578423	0.0121486	0.00528204
0.010793	-0.0231089	0.00528204
-0.00877315	-0.00249685	0.00528204
0.00216856	0.0108564	0.00528204
-0.00146488	-0.0125511	0.00528204
0.00585004	0.00944724	0.00528204
-0.0160319	-0.00503602	0.00528204
0.0102474	-0.00924855	0.00528204
0.00462599	-0.0124236	0.00528204
-0.00451382	0.0175468	0.00528204
-0.00777139	0.00824798	0.00528204
-0.0103393	-0.0118116	0.00528204
0.0093995	-0.00237128	0.00528204
-0.0113555	-0.0027252	0.00528204
0.0063223	-0.00222166	0.00528204
-0.00580763	0.0162765	0.00528204
0.00290674	-0.0137578	0.00528204
-0.00184977	-0.0175826	0.00528204
0.0187621	-0.00343607	0.00528204
-0.0126175	-0.00156679	0.00528204
-0.0170904	-0.00484751	0.00528204
-0.0136809	0.00520367	0.00528204
0.00999835	0.00829772	0.00528204
0.0109029	-0.00599515	0.00528204
-0.00787045	0.00238897	0.00528204
-0.00977394	0.0206796	0.00528204
0.00101624	0.0177755	0.00528204
0.00300098	-0.00753833	0.00528204
0.0128768	-0.00196892	0.00528204
-0.00688854	-0.0168874	0.00528204
-0.00218579	-0.00805474	0.00528203
-7.29E-05	-0.0182715	0.00528203
-0.00381047	-0.0159277	0.00528203
-0.0135806	-0.00645369	0.00528203
-0.00598579	-0.00393268	0.00528203
0.00833995	0.0120029	0.00528203
-0.00932545	0.00439012	0.00528203
-0.00435053	-0.00927365	0.00528203
-0.015239	0.00777005	0.00528203
-0.0144877	-0.00619221	0.00528203
0.0085862	-0.0182005	0.00528203
-0.0203054	0.0106173	0.00528203
0.00586681	0.000773844	0.00528203
0.000771507	-0.00637496	0.00528203
0.00303588	-0.00675212	0.00528203
0.019536	-0.00227239	0.00528203
-0.00276073	0.00944634	0.00528203
0.00259721	-0.0215782	0.00528203
0.0217479	0.00542962	0.00528203
-0.00911235	0.0159072	0.00528203
-0.0048439	-0.005974	0.00528203
0.00301647	0.00593273	0.00528203
0.0130916	-0.00378705	0.00528203
0.00708055	-0.00544361	0.00528203
0.0173873	-0.00471796	0.00528203
0.0195435	-0.00756873	0.00528203
-0.0248254	0.0031507	0.00528203
0.0140245	-0.0106671	0.00528203
0.00962103	-0.00765665	0.00528203
-0.00751948	-0.00540401	0.00528203
0.0102984	-0.00531504	0.00528203
-0.0136138	0.00423172	0.00528203
0.0103907	-0.00701662	0.00528203
0.0107866	-0.00822219	0.00528203
-0.0207049	-0.00335081	0.00528203
-0.0148055	0.00344386	0.00528203
0.0107685	0.00548463	0.00528203
0.0115937	-0.00118297	0.00528203
-0.0155721	-0.0115362	0.00528203
-0.000624498	-0.0226288	0.00528203
-0.0134485	0.00254908	0.00528203
0.0105308	-0.0010209	0.00528203
-0.0111519	0.0114957	0.00528203
0.0017701	0.0081442	0.00528203
0.0143543	-0.0089045	0.00528203
0.0110773	0.00676707	0.00528203
-0.000383897	0.0134847	0.00528203
0.0055717	-0.00498435	0.00528203
-0.000723535	-0.00689709	0.00528203
-0.00390958	-0.00541019	0.00528203
-0.0142994	-0.00689838	0.00528203
-0.0128121	-0.00350493	0.00528203
-0.0135939	0.0179746	0.00528203
-0.0124953	-0.000769144	0.00528203
0.0141599	0.00652888	0.00528203
0.000510573	-0.00585252	0.00528203
-0.00691603	0.0111291	0.00528203
-0.00582849	0.0245667	0.00528203
-0.00757662	-0.0194682	0.00528203
0.00540426	0.00199364	0.00528203
0.00259709	0.00649279	0.00528203
0.0132586	-0.00945005	0.00528203
-0.00838327	-0.00484565	0.00528203
0.0195597	0.00139772	0.00527346
0.00950478	-0.00742768	0.00527346
-0.0161358	-0.00270438	0.00527346
-0.0140228	0.0192504	0.00527346
0.0213158	0.000242143	0.00527346
0.00925777	0.00311998	0.00527346
-0.0014069	-0.00771307	0.00527346
-0.00252043	-0.0164016	0.00527346
-0.0113781	-0.010018	0.00527346
-0.0213807	-0.00860315	0.00527346
0.000438616	-0.0094234	0.00527346
-0.00694448	0.0106343	0.00527346
0.0132259	-0.0115075	0.00527346
-0.00648469	-0.00822261	0.00527346
-0.0170738	0.013653	0.00527346
0.004302	0.00664601	0.00527346
0.00578328	-0.00181498	0.00527346
0.00728041	-7.16E-05	0.00527346
0.0156056	-0.00707282	0.00527346
-0.0141997	0.00603525	0.00527346
-0.0207921	-0.000256173	0.00527346
-0.00279876	-0.00924458	0.00527346
-0.00421697	0.00907716	0.00527346
-0.0146981	-0.0101764	0.00527346
-0.00672304	-0.00616846	0.00527346
-0.00736947	-0.0131369	0.00527346
-0.0157606	-0.00637763	0.00527346
-0.0169356	-0.0096747	0.00527346
-0.004054	0.00519611	0.00527346
-0.00504453	0.00947293	0.00527346
-0.0173603	0.0110577	0.00527346
0.012575	0.00343553	0.00527346
-0.00874254	0.00176603	0.00527346
0.00921465	0.0108069	0.00527346
-0.00576268	0.00221046	0.00527346
-0.00537062	-0.0110047	0.00527346
-0.00161263	-0.00663337	0.00527346
0.0151659	-0.00221722	0.00527346
0.00673508	-0.000839706	0.00527346
0.0212752	-0.00852227	0.00527346
0.0104849	0.013127	0.00527346
-0.00354411	0.00663896	0.00527346
0.00583981	-0.00993815	0.00527346
0.0121735	0.00125969	0.00527346
-0.00416377	0.0126657	0.00527346
0.0148525	-0.0154389	0.00527346
0.00263148	-0.0145415	0.00527346
0.00180571	0.00731006	0.00527346
-0.00923969	0.00228603	0.00527346
-0.00710583	-0.00672683	0.00527346
